word,SUM(count)
the,49
and,23
space,14
station,14
of,14
is,12
in,11
iss,9
by,8
to,8
russian,7
for,6
united,5
earth,5
from,5
a,5
as,5
orbit,4
spacecraft,4
with,4
us,3
low,3
major,3
segment,3
soyuz,3
pressurised,3
it,3
states,3
an,3
russia,3
has,3
which,3
modules,2
using,2
new,2
launched,2
was,2
mir,2
days,2
roscosmos,2
years,2
scientific,2
module,2
have,2
downmass,2
sent,2
return,2
dragon,2
artificial,2
been,2
japanese,2
satellite,2
vehicle,2
largest,2
experiments,2
astronauts,2
five,2
first,2
visiting,2
transfer,2
many,2
orbital,2
nations,2
elements,2
south,2
photovoltaic,1
operation,1
launch,1
stations,1
meteorology,1
robotic,1
inhabited,1
day,1
used,1
astronomy,1
naked,1
salyut,1
csa,1
multinational,1
two,1
2016,1
component,1
microgravity,1
ros,1
2020,1
experimental,1
serves,1
trusses,1
surpassed,1
progress,1
kingdom,1
intergovernmental,1
moon,1
skylab,1
continued,1
starting,1
ninth,1
kazakhstan,1
treaties,1
modular,1
solar,1
previous,1
radiators,1
250,1
consists,1
2019,1
missions,1
variety,1
eight,1
japan,1
research,1
required,1
16,1
tourists,1
visited,1
2000,1
automated,1
programme,1
construct,1
capsule,1
endorsed,1
47,1
per,1
example,1
cosmonauts,1
four,1
surface,1
operated,1
one,1
suited,1
average,1
korea,1
longduration,1
earths,1
object,1
human,1
sweden,1
had,1
future,1
roughly,1
be,1
agreements,1
2018,1
continues,1
german,1
laboratory,1
divided,1
jaxa,1
eye,1
circles,1
later,1
europe,1
fields,1
french,1
emirates,1
project,1
brazil,1
inflatable,1
next,1
other,1
times,1
operate,1
having,1
netherlands,1
september,1
allows,1
between,1
mars,1
visible,1
capability,1
on,1
229,1
crews,1
canadian,1
but,1
arrays,1
italian,1
19,1
proton,1
each,1
record,1
people,1
formerly,1
canada,1
habitat,1
use,1
testing,1
different,1
collaborative,1
proposal,1
into,1
following,1
nasa,1
shared,1
2011,1
arriving,1
minutes,1
residents,1
analysis,1
93,1
kilometres,1
latest,1
fitted,1
conducted,1
possible,1
established,1
completing,1
habitation,1
longterm,1
minimal,1
reboost,1
cygnus,1
ports,1
esa,1
them,1
africa,1
maintains,1
almaz,1
bays,1
nine,1
zvezda,1
further,1
habitable,1
arms,1
astrobiology,1
cargo,1
239,1
presence,1
occupied,1
three,1
proposed,1
november,1
shuttles,1
are,1
usos,1
thermal,1
freedom,1
orbits,1
9,1
soviet,1
manoeuvres,1
hii,1
through,1
opsek,1
until,1
systems,1
20,1
several,1
2024,1
experiment,1
longest,1
357,1
equipment,1
service,1
arab,1
development,1
well,1
malaysia,1
2030,1
ownership,1
participating,1
structural,1
were,1
denmark,1
evolved,1
previously,1
1998,1
mi,1
docking,1
400,1
continuously,1
continuous,1
regularly,1
rockets,1
european,1
this,1
about,1
repatriate,1
engines,1
agencies,1
spain,1
environment,1
then,1
151,1
added,1
since,1
physics,1
altitude,1
or,1
scheduled,1
belgium,1
2,1
assembly,1
serviced,1
international,1
expected,1
multiple,1
means,1
sections,1
called,1
december,1
held,1
